block_id,date,planting_date,variety,crop_type,healthy,observed_rvi,rainfall_mm,irrigation_mm,yield_t_ha,is_problem
A02,2024-01-01,2024-01-01,NCo376,ratoon,True,0.2331,7.5,7.3,,0
A02,2024-01-15,2024-01-01,NCo376,ratoon,True,0.3638,23.9,4.3,,0
A02,2024-01-29,2024-01-01,NCo376,ratoon,True,0.4135,0.6,8.3,,0
A02,2024-02-12,2024-01-01,NCo376,ratoon,True,0.5329,2.6,2.1,,0
A02,2024-02-26,2024-01-01,NCo376,ratoon,True,0.6177,24.2,8.9,,0
A02,2024-03-11,2024-01-01,NCo376,ratoon,True,0.6551,20.1,7.0,,0
A02,2024-03-25,2024-01-01,NCo376,ratoon,True,0.7302,0.4,1.6,,0
A02,2024-04-08,2024-01-01,NCo376,ratoon,True,0.7805,19.9,3.5,,0
A02,2024-04-22,2024-01-01,NCo376,ratoon,True,0.8435,15.2,13.0,,0
A02,2024-05-06,2024-01-01,NCo376,ratoon,True,0.957,10.3,5.6,,0
A02,2024-05-20,2024-01-01,NCo376,ratoon,True,0.9358,16.3,13.0,,0
A02,2024-06-03,2024-01-01,NCo376,ratoon,True,0.8481,6.2,3.5,,0
A02,2024-06-17,2024-01-01,NCo376,ratoon,True,0.8501,20.4,1.6,,0
A02,2024-07-01,2024-01-01,NCo376,ratoon,True,0.8228,14.9,2.2,,0
A02,2024-07-15,2024-01-01,NCo376,ratoon,True,0.8865,7.8,2.2,,0
A02,2024-07-29,2024-01-01,NCo376,ratoon,True,0.8031,4.1,4.3,,0
A02,2024-08-12,2024-01-01,NCo376,ratoon,True,0.7097,2.9,0.3,,0
A02,2024-08-26,2024-01-01,NCo376,ratoon,True,0.6337,4.4,0.8,,0
A12,2024-01-01,2024-01-01,NCo376,ratoon,True,0.2665,17.0,5.9,,0
A12,2024-01-15,2024-01-01,NCo376,ratoon,True,0.3573,12.6,13.1,,0
A12,2024-01-29,2024-01-01,NCo376,ratoon,True,0.4126,1.1,2.7,,0
A12,2024-02-12,2024-01-01,NCo376,ratoon,True,0.6252,6.2,8.6,,0
A12,2024-02-26,2024-01-01,NCo376,ratoon,True,0.6232,1.2,5.6,,0
A12,2024-03-11,2024-01-01,NCo376,ratoon,True,0.6941,2.5,12.5,,0
A12,2024-03-25,2024-01-01,NCo376,ratoon,True,0.76,23.1,1.5,,0
A12,2024-04-08,2024-01-01,NCo376,ratoon,True,0.8384,22.6,14.7,,0
A12,2024-04-22,2024-01-01,NCo376,ratoon,True,0.8327,19.5,9.6,,0
A12,2024-05-06,2024-01-01,NCo376,ratoon,True,0.8694,3.4,8.0,,0
A12,2024-05-20,2024-01-01,NCo376,ratoon,True,0.9018,21.4,6.9,,0
A12,2024-06-03,2024-01-01,NCo376,ratoon,True,0.8911,16.0,4.0,,0
A12,2024-06-17,2024-01-01,NCo376,ratoon,True,0.8755,11.9,6.3,,0
A12,2024-07-01,2024-01-01,NCo376,ratoon,True,0.9243,9.2,5.5,,0
A12,2024-07-15,2024-01-01,NCo376,ratoon,True,0.8145,9.5,10.3,,0
A12,2024-07-29,2024-01-01,NCo376,ratoon,True,0.7642,23.7,13.7,,0
A12,2024-08-12,2024-01-01,NCo376,ratoon,True,0.775,8.2,8.0,,0
A12,2024-08-26,2024-01-01,NCo376,ratoon,True,0.704,16.3,12.1,,0
A01,2025-01-01,2025-01-01,NCo376,ratoon,True,0.2396,15.8,4.3,,0
A01,2025-01-15,2025-01-01,NCo376,ratoon,True,0.3796,5.1,10.4,,0
A01,2025-01-29,2025-01-01,NCo376,ratoon,True,0.4312,15.4,1.4,,0
A01,2025-02-12,2025-01-01,NCo376,ratoon,True,0.5905,2.1,14.0,,0
A01,2025-02-26,2025-01-01,NCo376,ratoon,True,0.6074,24.0,12.0,,0
A01,2025-03-12,2025-01-01,NCo376,ratoon,True,0.7378,19.6,11.9,,0
A01,2025-03-26,2025-01-01,NCo376,ratoon,True,0.7154,6.3,8.9,,0
A01,2025-04-09,2025-01-01,NCo376,ratoon,True,0.7825,15.4,2.6,,0
A01,2025-04-23,2025-01-01,NCo376,ratoon,True,0.8896,14.3,7.0,,0
A01,2025-05-07,2025-01-01,NCo376,ratoon,True,0.8902,19.1,12.0,,0
A01,2025-05-21,2025-01-01,NCo376,ratoon,True,0.953,15.0,14.0,,0
A01,2025-06-04,2025-01-01,NCo376,ratoon,True,0.9201,2.9,1.3,,0
A01,2025-06-18,2025-01-01,NCo376,ratoon,True,0.9014,10.5,11.6,,0
A01,2025-07-02,2025-01-01,NCo376,ratoon,True,0.8923,8.3,13.5,,0
A01,2025-07-16,2025-01-01,NCo376,ratoon,True,0.8342,6.8,5.5,,0
A01,2025-07-30,2025-01-01,NCo376,ratoon,True,0.7707,3.9,2.2,,0
A01,2025-08-13,2025-01-01,NCo376,ratoon,True,0.7494,10.9,5.7,,0
A01,2025-08-27,2025-01-01,NCo376,ratoon,True,0.6948,13.8,14.0,,0
A02,2025-01-01,2025-01-01,NCo376,ratoon,True,0.2571,12.0,5.6,,0
A02,2025-01-15,2025-01-01,NCo376,ratoon,True,0.3915,17.9,14.3,,0
A02,2025-01-29,2025-01-01,NCo376,ratoon,True,0.4573,21.3,9.6,,0
A02,2025-02-12,2025-01-01,NCo376,ratoon,True,0.4566,14.7,10.3,,0
A02,2025-02-26,2025-01-01,NCo376,ratoon,True,0.6135,11.4,12.4,,0
A02,2025-03-12,2025-01-01,NCo376,ratoon,True,0.6411,11.5,6.6,,0
A02,2025-03-26,2025-01-01,NCo376,ratoon,True,0.7662,23.0,11.7,,0
A02,2025-04-09,2025-01-01,NCo376,ratoon,True,0.7565,24.9,13.2,,0
A02,2025-04-23,2025-01-01,NCo376,ratoon,True,0.8327,20.9,1.6,,0
A02,2025-05-07,2025-01-01,NCo376,ratoon,True,0.8844,2.3,13.5,,0
A02,2025-05-21,2025-01-01,NCo376,ratoon,True,0.915,6.0,2.1,,0
A02,2025-06-04,2025-01-01,NCo376,ratoon,True,0.9063,5.0,13.7,,0
A02,2025-06-18,2025-01-01,NCo376,ratoon,True,0.9067,0.9,0.1,,0
A02,2025-07-02,2025-01-01,NCo376,ratoon,True,0.8929,15.1,12.0,,0
A02,2025-07-16,2025-01-01,NCo376,ratoon,True,0.7742,21.2,0.9,,0
A02,2025-07-30,2025-01-01,NCo376,ratoon,True,0.8021,23.2,11.6,,0
A02,2025-08-13,2025-01-01,NCo376,ratoon,True,0.7525,20.9,0.6,,0
A02,2025-08-27,2025-01-01,NCo376,ratoon,True,0.6161,3.1,7.6,,0
A12,2025-01-01,2025-01-01,NCo376,ratoon,False,0.2974,15.8,12.8,,1
A12,2025-01-15,2025-01-01,NCo376,ratoon,False,0.3241,18.4,2.9,,1
A12,2025-01-29,2025-01-01,NCo376,ratoon,False,0.4253,17.7,14.7,,1
A12,2025-02-12,2025-01-01,NCo376,ratoon,False,0.4784,1.4,9.2,,1
A12,2025-02-26,2025-01-01,NCo376,ratoon,False,0.6263,22.1,10.6,,1
A12,2025-03-12,2025-01-01,NCo376,ratoon,False,0.7174,2.3,2.8,,1
A12,2025-03-26,2025-01-01,NCo376,ratoon,False,0.7134,11.5,11.8,,1
A12,2025-04-09,2025-01-01,NCo376,ratoon,False,0.5594,14.3,2.2,,1
A12,2025-04-23,2025-01-01,NCo376,ratoon,False,0.6554,7.5,8.7,,1
A12,2025-05-07,2025-01-01,NCo376,ratoon,False,0.6769,16.2,14.1,,1
A12,2025-05-21,2025-01-01,NCo376,ratoon,False,0.6699,12.7,6.1,,1
A12,2025-06-04,2025-01-01,NCo376,ratoon,False,0.7277,3.0,2.0,,1
A12,2025-06-18,2025-01-01,NCo376,ratoon,False,0.6541,7.6,6.4,,1
A12,2025-07-02,2025-01-01,NCo376,ratoon,False,0.6355,15.9,6.2,,1
A12,2025-07-16,2025-01-01,NCo376,ratoon,False,0.5569,5.4,8.8,,1
A12,2025-07-30,2025-01-01,NCo376,ratoon,False,0.4968,0.9,6.3,,1
A12,2025-08-13,2025-01-01,NCo376,ratoon,False,0.5422,5.6,8.6,,1
A12,2025-08-27,2025-01-01,NCo376,ratoon,False,0.4152,17.6,9.7,,1
